time/total_timesteps,time/iterations,time/fps,train/reward,time/time_elapsed,train/approx_kl,train/entropy_loss,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/std,train/clip_range,train/loss,train/policy_gradient_loss,train/value_loss
12288,24,262,5.0168095,46,0.027704876,-42.821362018585205,0.237109375,0.00025,0.03605365753173828,230,1.0091078281402588,0.2,15.738018989562988,-0.017279052222147585,27.588729238510133
12800,25,262,-3.0289187,48,0.020789545,-42.844999122619626,0.158984375,0.00025,0.027244150638580322,240,1.0096057653427124,0.2,12.300785064697266,-0.029941929853521287,27.79473567008972
13312,26,262,0.5998239,50,0.012368286,-42.85671443939209,0.0736328125,0.00025,-0.026541471481323242,250,1.0100762844085693,0.2,16.755834579467773,-0.01846630317158997,37.480245685577394
13824,27,262,-1.198438,52,0.023694357,-42.871258640289305,0.1412109375,0.00025,-0.0028722286224365234,260,1.0104678869247437,0.2,21.834693908691406,-0.033882863016333434,48.97069091796875
14336,28,262,0.6587898,54,0.023797581,-42.88378171920776,0.193359375,0.00025,0.09546929597854614,270,1.0109889507293701,0.2,4.912844657897949,-0.03364733923226595,11.211783981323242
14848,29,262,-0.24813622,56,0.025055533,-42.89469499588013,0.24453125,0.00025,-0.023154258728027344,280,1.011163353919983,0.2,14.460097312927246,-0.032754156598821284,27.2204430103302
15360,30,262,-0.30428696,58,0.029820804,-42.90209789276123,0.2103515625,0.00025,0.0771302580833435,290,1.0114933252334595,0.2,10.156905174255371,-0.03419808777980506,22.687672448158263
15872,31,262,-1.1247579,60,0.034268204,-42.90687780380249,0.2576171875,0.00025,0.1059044599533081,300,1.011568546295166,0.2,7.112340450286865,-0.03494445523247123,19.196465921401977
16384,32,262,0.07378358,62,0.041082356,-42.922705078125,0.3361328125,0.00025,-0.03284871578216553,310,1.01274836063385,0.2,10.51222038269043,-0.03858388257212937,21.991195154190063
16896,33,262,0.99458313,64,0.024254506,-42.95039777755737,0.158984375,0.00025,0.28542405366897583,320,1.013296127319336,0.2,15.544669151306152,-0.03317448957823217,30.575583124160765
17408,34,262,1.9707701,66,0.02254495,-42.96977891921997,0.1537109375,0.00025,0.20515799522399902,330,1.0139211416244507,0.2,11.935844421386719,-0.014282480836845935,28.200818634033205
17920,35,261,1.4395643,68,0.041871786,-42.99248647689819,0.2859375,0.00025,-0.02101302146911621,340,1.015141487121582,0.2,21.163875579833984,-0.019871337828226386,39.312251567840576
18432,36,260,2.1103148,70,0.02709575,-43.02263669967651,0.2076171875,0.00025,0.15316009521484375,350,1.0154961347579956,0.2,4.846715450286865,-0.03777885796735063,13.373184466362
18944,37,260,2.4917667,72,0.01847155,-43.028614616394044,0.137890625,0.00025,0.030003666877746582,360,1.016053557395935,0.2,22.11627960205078,-0.019230992021039128,60.9864914894104
19456,38,259,0.49255502,74,0.028329471,-43.04718103408813,0.208203125,0.00025,0.004918038845062256,370,1.0164804458618164,0.2,37.52201461791992,-0.029476886862539686,89.5103645324707
19968,39,259,0.20839393,77,0.008196119,-43.05458297729492,0.037109375,0.00025,0.08745390176773071,380,1.0165950059890747,0.2,7.727537155151367,-0.018309571733698248,17.852367544174193
20480,40,258,-0.66265035,79,0.020974891,-43.06232872009277,0.1884765625,0.00025,0.028621554374694824,390,1.0170711278915405,0.2,13.534353256225586,-0.027359569910913706,31.177086067199706
