time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/reward,train/explained_variance,train/entropy_loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/loss,train/n_updates,train/std,train/clip_range,train/approx_kl
8704,17,18,474,-3.7833486,-0.026632189750671387,-14.229002118110657,68.25683565139771,0.00025,-0.007459072367055342,0.009765625,29.016754150390625,160,1.0037423372268677,0.2,0.0046250597
9216,18,19,474,-1.6263579,0.00287473201751709,-14.224977588653564,556.6641227722168,0.00025,-0.0037721310975030063,0.0,202.0838165283203,170,1.0034997463226318,0.2,0.00086910115
9728,19,20,471,0.08500724,-0.03333258628845215,-14.2264328956604,44.360950231552124,0.00025,-0.010045805294066668,0.053515625,24.25861358642578,180,1.0042295455932617,0.2,0.011169366
10240,20,21,471,-0.11399112,-0.0005937814712524414,-14.235381412506104,129.76055812835693,0.00025,-0.00538949070032686,0.0017578125,66.99568176269531,190,1.004875898361206,0.2,0.0026666673
10752,21,22,471,-0.3812518,0.002285003662109375,-14.238728594779968,678.8460922241211,0.00025,-0.010994947771541775,0.032421875,452.8997802734375,200,1.0048363208770752,0.2,0.009119541
11264,22,23,471,0.20154756,-0.03586697578430176,-14.235513377189637,22.943599939346313,0.00025,-0.015878693177364768,0.0865234375,11.09928035736084,210,1.0045619010925293,0.2,0.012191263
11776,23,25,470,-0.5679296,-0.007842421531677246,-14.235656452178954,105.1216033935547,0.00025,-0.006141126528382302,0.01171875,48.08621597290039,220,1.0047681331634521,0.2,0.005854197
12288,24,26,470,4.239033,0.0036429762840270996,-14.238930821418762,312.9708740234375,0.00025,-0.005239317216910422,0.0046875,199.25616455078125,230,1.005233883857727,0.2,0.0036694356
12800,25,27,470,-2.5589833,0.0037199854850769043,-14.23930311203003,44.55918111801147,0.00025,-0.017733527242671698,0.087109375,23.775875091552734,240,1.004546880722046,0.2,0.012654115
13312,26,28,470,1.2705628,-0.01984107494354248,-14.234232521057129,114.61543579101563,0.00025,-0.007520856114570052,0.0060546875,48.22831344604492,250,1.0046371221542358,0.2,0.0033293674
13824,27,29,471,-0.49187633,-0.03949880599975586,-14.236482167243958,261.76060447692873,0.00025,-0.005653075408190489,0.0015625,175.04161071777344,260,1.0048353672027588,0.2,0.002926982
14336,28,30,471,-3.8253524,-0.017643451690673828,-14.237573480606079,80.90352201461792,0.00025,-0.00985501756076701,0.017578125,44.62928771972656,270,1.0048134326934814,0.2,0.006983745
14848,29,31,469,1.8069216,0.001347661018371582,-14.240971732139588,249.85693130493163,0.00025,-0.011828223522752524,0.0626953125,113.64209747314453,280,1.0057603120803833,0.2,0.011385193
15360,30,32,468,1.4296758,-0.011497735977172852,-14.248649287223817,447.1411735534668,0.00025,-0.0014060374582186342,0.0123046875,179.55393981933594,290,1.0061280727386475,0.2,0.004326436
15872,31,33,467,-0.5538761,0.0008956789970397949,-14.249175405502319,77.8135362625122,0.00025,-0.012671729153953492,0.060546875,34.21352767944336,300,1.0059072971343994,0.2,0.010778469
16384,32,35,465,-0.6827535,0.0048340559005737305,-14.250758361816406,170.3831401824951,0.00025,-0.011575130152050406,0.0373046875,88.91757202148438,310,1.006596565246582,0.2,0.008167021
16896,33,36,464,4.8129144,-0.0009160041809082031,-14.256269192695617,284.8373107910156,0.00025,-0.01640505571849644,0.0734375,149.8120574951172,320,1.006823182106018,0.2,0.012468266
17408,34,37,463,-6.223777,0.005500197410583496,-14.256932044029236,89.28299751281739,0.00025,-0.008443863433785736,0.0140625,46.05546569824219,330,1.006854772567749,0.2,0.0056532603
17920,35,38,463,0.6958936,0.007883548736572266,-14.25739598274231,198.07332344055175,0.00025,-0.004336445964872837,0.0,86.75186157226562,340,1.0069376230239868,0.2,0.0012554353
18432,36,39,463,2.5602522,-0.00652003288269043,-14.263431215286255,121.80102682113647,0.00025,-0.014919217862188815,0.071875,60.68000411987305,350,1.008067011833191,0.2,0.010690829
18944,37,40,463,-0.4551761,-0.027913212776184082,-14.272663497924805,106.37024955749511,0.00025,-0.011638843384571374,0.034375,48.31367492675781,360,1.008664608001709,0.2,0.008221167
19456,38,41,464,-5.395011,0.021174967288970947,-14.274961829185486,222.91392860412597,0.00025,-0.0073302305187098685,0.0064453125,127.2996597290039,370,1.0085124969482422,0.2,0.0043137446
19968,39,42,465,2.2173781,0.019821763038635254,-14.282171154022217,41.28087558746338,0.00025,-0.014366678916849196,0.096875,19.23047637939453,380,1.0107783079147339,0.2,0.011365323
20480,40,43,465,-0.90813196,-0.009758472442626953,-14.302069473266602,184.9861011505127,0.00025,-0.013308679056353866,0.054296875,90.50177001953125,390,1.0121229887008667,0.2,0.0106243715
