date,ppo,a2c,td3,sac,ddpg,ppo_lstm,ppo_mamba,buy_hold
2024-10-24,1219006.6068510225,1254057.828775101,1031832.176412102,1383675.660691356,1284290.3610252913,1181090.0814759582,1196098.0136903846,1195971.9664180297
2024-10-25,1243396.590074907,1283084.1622958395,1042141.9817519152,1397658.745375728,1311620.294542747,1187424.4655833342,1203219.4753679358,1207407.588328125
2024-10-28,1236197.5838358365,1283360.7519307483,1029762.7523131334,1394145.5043955797,1319357.2675270613,1173991.881503817,1198629.0370134437,1204668.1015117187
2024-10-29,1213813.132748186,1253905.1502228796,1014926.2600569688,1382782.555890178,1297942.0623421248,1159949.296224932,1179130.2865366065,1189808.4802749176
2024-10-30,1203856.020645811,1252072.591351004,1004714.4433913196,1375674.7151728624,1285178.2375816875,1152480.1455884308,1177286.7651399695,1185799.924095871
2024-11-01,1205721.424996649,1256015.6543873504,1009002.0659842456,1359603.987103557,1284419.5504631577,1152207.725525412,1185476.5863260354,1181105.4359633941
2024-11-04,1214293.2597482852,1258957.3415116942,1019613.9961218798,1379286.587948894,1295810.99851461,1172176.457809958,1194946.2721933448,1192702.6792380828
2024-11-05,1220549.851494829,1262251.6509114287,1017172.9758849108,1391503.3733168596,1295866.0204720076,1174100.8583798737,1197133.855204972,1196807.893650772
2024-11-06,1238538.886990263,1278325.3935071814,1030042.1648459398,1399851.2903071395,1311066.7193092878,1183689.9754014343,1209220.1651643836,1201320.7040088195
2024-11-07,1248342.2146003875,1286128.024883143,1037398.2145743334,1404660.9611788744,1315970.848238426,1189355.8690457672,1218134.3702806556,1212939.3806426544
2024-11-08,1254466.0268117995,1270297.000409506,1035008.5582900012,1418462.2175742143,1315351.826960045,1193097.7119889588,1215106.5563921058,1210515.0641620178
2024-11-11,1247132.962797193,1275480.8065324614,1031353.9233946764,1413410.971182918,1317207.2893318709,1190585.492462668,1223357.989035996,1210576.4608962554
2024-11-12,1225025.9162136496,1245773.086511906,1013736.372907158,1380608.8973380085,1293449.3402657087,1160115.4106431336,1202793.4038614356,1187763.6082828064
2024-11-13,1240026.950635563,1257149.1440725978,1042989.9434180224,1373068.98482809,1293630.0766319807,1179193.6717152924,1212879.236720475,1191791.3399245758
2024-11-14,1234266.3254364526,1239919.2929507068,1031112.0333495104,1361662.0539895052,1280745.297953087,1164256.293325934,1206770.9049781882,1176209.9871299285
2024-11-15,1231401.774131483,1259680.11482103,1047303.3468413316,1350411.3684817308,1280149.91572805,1175098.2995515198,1211445.6656564795,1174307.4156634826
2024-11-18,1226879.1461683863,1230331.8571785376,1034426.90457296,1343690.885205364,1273474.2939400251,1154049.2251458496,1173614.730208787,1164893.5016047973
2024-11-19,1249700.8642983453,1263949.4742991584,1050315.5721259082,1354178.9218874923,1297138.3856224592,1169459.006090674,1196373.0595735633,1180215.6392009277
2024-11-20,1251756.575889673,1270949.547002312,1041350.9263586962,1346350.4240599629,1289858.9069923933,1158036.2954354614,1210813.5882982337,1178980.8571193237
