time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/std,train/n_updates,train/loss,train/explained_variance,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss
17,8704,35,245,0.00025,-0.07186383318621666,0.06331158,1.0077887773513794,160,-0.41087934374809265,0.8619459122419357,1.6402180843055247,0.2,0.3734375,-42.80120964050293
18,9216,35,260,0.00025,-0.014200717979110777,0.045681637,1.007992148399353,170,0.3007046580314636,0.8757910802960396,10.624890226125718,0.2,0.3087890625,-42.800536441802976
19,9728,34,279,0.00025,-0.07419669601367787,0.059613924,1.0084840059280396,180,-0.36490491032600403,0.7610076516866684,1.6215139709413051,0.2,0.4189453125,-42.810998153686526
20,10240,34,297,0.00025,-0.05889835533453151,0.053137228,1.0090172290802002,190,-0.3529297709465027,0.8573132455348969,2.24371734932065,0.2,0.35078125,-42.82482204437256
21,10752,34,313,0.00025,-0.021604660467710347,0.03917529,1.0093365907669067,200,0.13776743412017822,0.8671363592147827,9.676780951023101,0.2,0.3404296875,-42.83987445831299
22,11264,34,330,0.00025,-0.08907076104078442,0.09660595,1.0112022161483765,210,-0.4948233366012573,0.8923328071832657,0.8183737963438034,0.2,0.51171875,-42.86327571868897
23,11776,33,347,0.00025,-0.038210224849171935,0.042860705,1.0117851495742798,220,-0.29562807083129883,0.8328531980514526,3.287148317694664,0.2,0.3201171875,-42.9140287399292
24,12288,33,362,0.00025,-0.019712709332816304,0.04984818,1.011995792388916,230,-0.20569613575935364,0.6229166388511658,6.180940890312195,0.2,0.3109375,-42.917774772644044
25,12800,33,379,0.00025,-0.08753711364697665,0.084824145,1.0146114826202393,240,-0.4722175896167755,0.9567827470600605,0.5531505145132541,0.2,0.4833984375,-42.956104850769044
26,13312,33,395,0.00025,-0.06420567594468593,0.065762214,1.01506769657135,250,-0.3944990634918213,0.9339939579367638,1.429508601874113,0.2,0.437109375,-43.0111044883728
27,13824,33,411,0.00025,-0.0459187951637432,0.06810673,1.0166078805923462,260,-0.39670437574386597,0.767117440700531,1.8953210942447185,0.2,0.3564453125,-43.02802801132202
28,14336,33,427,0.00025,-0.08652637338964268,0.09072411,1.018927812576294,270,-0.4982713460922241,0.9706348478794098,0.3527014898136258,0.2,0.475390625,-43.095020580291745
29,14848,33,444,0.00025,-0.07787593647371978,0.07035787,1.0193934440612793,280,-0.3861367404460907,0.9020896553993225,1.0393364120274782,0.2,0.4466796875,-43.13585166931152
30,15360,33,461,0.00025,-0.06822045827284455,0.07565722,1.0198793411254883,290,-0.45290786027908325,0.8179257661104202,1.2270418785512447,0.2,0.3990234375,-43.1404465675354
31,15872,33,479,0.00025,-0.08515554298646748,0.10362875,1.0229473114013672,300,-0.4777628779411316,0.9322732165455818,0.6945471722632647,0.2,0.5384765625,-43.19332714080811
32,16384,32,496,0.00025,-0.0675430147384759,0.08549839,1.0238555669784546,310,-0.4088449478149414,0.90933558344841,0.9439735285937786,0.2,0.4453125,-43.262717628479
33,16896,32,513,0.00025,-0.07731007770635187,0.120738745,1.0247074365615845,320,-0.4356265068054199,0.849041074514389,0.7500389628112316,0.2,0.479296875,-43.27827682495117
34,17408,32,530,0.00025,-0.08692072881385685,0.08651754,1.0266859531402588,330,-0.49517524242401123,0.97823784686625,0.3902725227177143,0.2,0.4935546875,-43.32040100097656
35,17920,32,547,0.00025,-0.08332443170947954,0.09640684,1.0287680625915527,340,-0.47570210695266724,0.8986934497952461,0.45733333453536035,0.2,0.50625,-43.38310480117798
36,18432,32,565,0.00025,-0.10013647694140673,0.14405069,1.0305873155593872,350,-0.507463276386261,0.925712339580059,0.4380294900387526,0.2,0.5671875,-43.43560743331909
