time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/std,train/n_updates,train/loss,train/explained_variance,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss
16,8192,93,87,0.00025,-0.06710632597096264,0.042173374,1.0095343589782715,150,0.3954654335975647,0.8432561606168747,2.70694188028574,0.2,0.2908203125,-42.845429039001466
17,8704,94,92,0.00025,-0.06802539658965542,0.04681001,1.0099014043807983,160,0.5168851613998413,0.8134730607271194,6.901592016220093,0.2,0.318359375,-42.85381107330322
18,9216,96,95,0.00025,-0.05332756383577362,0.03524846,1.0102009773254395,170,2.2570714950561523,0.7506029009819031,8.509138366580009,0.2,0.245703125,-42.8679084777832
19,9728,95,101,0.00025,-0.07015180322341621,0.048726164,1.0105594396591187,180,-0.16116270422935486,0.6483805477619171,4.043746012449264,0.2,0.3048828125,-42.87433834075928
20,10240,97,105,0.00025,-0.08508203169330955,0.08058188,1.0115147829055786,190,0.9128085970878601,0.8975007683038712,2.7498040691018106,0.2,0.432421875,-42.89399271011352
21,10752,96,111,0.00025,-0.06585706451442093,0.0522362,1.0116480588912964,200,-0.19735777378082275,0.9403284452855587,2.6168173283338545,0.2,0.340234375,-42.91189079284668
22,11264,97,114,0.00025,-0.07765290520619601,0.059350684,1.011745810508728,210,-0.37959420680999756,0.8717763274908066,2.4758296966552735,0.2,0.383203125,-42.916875743865965
23,11776,99,118,0.00025,-0.06954224637011067,0.05386255,1.0122934579849243,220,0.1730738878250122,0.932721458375454,4.834105733036995,0.2,0.369140625,-42.92452602386474
24,12288,97,126,0.00025,-0.0850900034653023,0.055459954,1.0129175186157227,230,-0.346308171749115,0.8876670300960541,2.5654777117073535,0.2,0.3958984375,-42.94060134887695
25,12800,98,130,0.00025,-0.06815364954527467,0.074024156,1.0137656927108765,240,1.0348821878433228,0.9153768047690392,3.378836490213871,0.2,0.4396484375,-42.960582160949706
26,13312,99,134,0.00025,-0.07855357737280429,0.05299793,1.014387607574463,250,1.4326146841049194,0.9313425794243813,6.509544003009796,0.2,0.40625,-42.98590269088745
27,13824,97,141,0.00025,-0.06573675140971318,0.05395167,1.0146255493164062,260,1.0575870275497437,0.6773517429828644,9.566338655352592,0.2,0.332421875,-42.99675989151001
28,14336,98,145,0.00025,-0.06883083675056696,0.0800547,1.0153034925460815,270,0.029270589351654053,0.9231383055448532,1.9848037883639336,0.2,0.36171875,-43.010663223266604
29,14848,99,149,0.00025,-0.08063462813152,0.067784436,1.0160515308380127,280,0.47690892219543457,0.9512744136154652,3.229601214826107,0.2,0.39296875,-43.032417964935306
30,15360,98,155,0.00025,-0.07841693691443652,0.08882261,1.016897439956665,290,1.5050352811813354,0.8910594582557678,2.382985587418079,0.2,0.41484375,-43.05608415603638
31,15872,99,159,0.00025,-0.07844604612328113,0.09174535,1.0171984434127808,300,-0.3199930787086487,0.8942558541893959,6.870370991528034,0.2,0.4177734375,-43.072867488861085
32,16384,100,162,0.00025,-0.07418098433408886,0.07774404,1.0170000791549683,310,-0.04929304122924805,0.9494157247245312,2.3322274819016457,0.2,0.400390625,-43.07647819519043
33,16896,99,169,0.00025,-0.07033116415841505,0.044767186,1.017282247543335,320,3.724724292755127,0.6550548374652863,12.051030577719212,0.2,0.33984375,-43.075263595581056
34,17408,100,172,0.00025,-0.07351221172139048,0.040749364,1.0173660516738892,330,0.35634756088256836,0.8068987429141998,23.907251647114755,0.2,0.3140625,-43.08082599639893
35,17920,101,176,0.00025,-0.05734359227353707,0.034829214,1.018127202987671,340,7.919053554534912,0.9168650209903717,14.72010605931282,0.2,0.290625,-43.091682815551756
36,18432,100,182,0.00025,-0.06330344490706921,0.070296526,1.0192208290100098,350,2.6857995986938477,0.899092011153698,3.153133323788643,0.2,0.36875,-43.11779499053955
