date,2303.TW,2308.TW,2317.TW,2327.TW,2330.TW,2345.TW,2383.TW,2454.TW,3037.TW,3711.TW
2024-03-29,0,4,0,0,0,23,0,0,0,8
2024-04-01,0,4,0,0,0,23,0,0,0,8
2024-04-02,0,4,0,0,0,23,0,0,0,8
2024-04-03,0,4,0,0,0,23,0,0,0,8
2024-04-08,0,4,0,0,0,23,0,0,0,8
2024-04-09,0,4,0,0,0,23,0,0,0,8
2024-04-10,0,4,0,0,0,23,0,0,0,8
2024-04-11,0,4,0,0,0,23,0,0,0,8
2024-04-12,0,4,0,0,0,23,0,0,0,8
2024-04-15,0,4,0,0,0,23,0,0,0,8
2024-04-16,0,2,0,0,0,21,0,0,0,7
2024-04-17,0,2,0,0,0,21,0,0,0,7
2024-04-18,0,2,0,0,0,21,0,0,0,7
2024-04-19,0,2,0,0,0,21,0,0,0,7
2024-04-22,0,2,0,0,0,21,0,0,0,7
2024-04-23,0,2,0,0,0,21,0,0,0,7
2024-04-24,0,2,0,0,0,21,0,0,0,7
2024-04-25,0,2,0,0,0,21,0,0,0,7
2024-04-26,0,2,0,0,0,21,0,0,0,7
2024-04-29,0,2,0,0,0,21,0,0,0,7
2024-04-30,0,0,0,0,0,16,2,0,0,6
2024-05-02,0,0,0,0,0,16,2,0,0,6
2024-05-03,0,0,0,2,0,8,3,0,0,8
2024-05-06,0,1,0,4,0,5,6,0,0,7
2024-05-07,8,-1,0,-3,0,-9,2,2,0,2
2024-05-08,5,4,0,-3,0,-9,6,2,0,0
2024-05-09,8,-1,0,0,0,-9,2,2,0,3
2024-05-10,8,-1,0,0,0,-9,2,2,0,2
2024-05-13,4,4,0,0,0,-7,3,1,0,2
2024-05-14,10,1,0,0,0,-10,2,3,0,0
2024-05-15,8,-1,0,0,0,-9,2,2,0,2
2024-05-16,10,4,0,0,0,-14,4,5,0,0
2024-05-17,8,0,0,0,2,-14,3,4,0,0
2024-05-20,7,3,0,0,2,-20,1,5,0,0
2024-05-21,9,0,0,0,1,-15,2,3,0,1
2024-05-22,12,2,0,0,-4,-14,2,5,0,1
2024-05-23,4,0,0,4,-1,-8,7,4,0,1
2024-05-24,11,1,0,-3,0,-16,0,2,0,3
2024-05-27,6,2,0,5,0,-6,8,3,0,4
2024-05-28,10,0,0,-2,2,-15,3,2,0,3
2024-05-29,12,0,0,-4,0,-15,1,2,0,6
2024-05-30,6,2,0,5,-2,-6,8,3,0,4
2024-05-31,11,0,0,-4,1,-16,1,3,0,4
2024-06-03,7,0,0,2,-1,-13,7,5,0,-1
2024-06-04,12,-1,0,-1,0,-12,4,3,0,7
2024-06-05,12,-1,0,-1,0,-13,3,3,0,7
2024-06-06,7,-5,0,1,0,-11,4,4,0,2
2024-06-07,9,-2,0,0,0,-12,3,3,0,2
2024-06-11,4,0,0,4,0,-8,7,4,0,1
2024-06-12,11,0,0,-5,2,-18,2,5,0,1
2024-06-13,11,-1,0,-1,1,-15,2,3,0,3
2024-06-14,3,-4,0,7,2,-9,6,0,0,3
2024-06-17,3,-4,0,7,2,-9,6,0,0,3
2024-06-18,3,-4,0,5,3,-8,5,0,0,4
2024-06-19,11,-1,0,-3,0,-13,2,3,0,5
2024-06-20,3,-4,0,5,3,-8,6,0,0,4
2024-06-21,8,-1,0,0,1,-13,1,1,0,5
2024-06-24,0,-1,0,6,1,-5,7,2,0,3
2024-06-25,6,0,0,-2,5,-16,0,3,0,0
2024-06-26,6,0,0,-2,5,-16,2,2,0,0
2024-06-27,6,0,0,-2,5,-16,2,2,1,0
2024-06-28,6,0,0,-2,5,-16,0,3,0,0
2024-07-01,11,0,0,-5,2,-18,2,5,0,1
2024-07-02,10,4,0,0,3,-17,5,1,3,0
2024-07-03,10,4,0,0,3,-17,5,1,3,0
2024-07-04,8,0,0,0,4,-16,4,2,1,0
2024-07-05,6,0,0,-2,5,-16,2,2,1,0
2024-07-08,7,0,0,-2,5,-17,0,3,0,-1
2024-07-09,7,0,0,-1,5,-15,3,1,1,0
2024-07-10,10,4,0,0,3,-17,5,1,3,0
2024-07-11,5,3,0,0,5,-15,3,0,1,-1
2024-07-12,9,3,0,0,3,-19,6,2,3,0
2024-07-15,9,3,0,0,3,-19,6,1,3,0
2024-07-16,10,0,0,1,1,-17,5,1,2,2
2024-07-17,7,2,0,2,1,-12,7,1,-1,4
2024-07-18,7,-3,0,7,2,-10,8,1,-3,3
2024-07-19,9,3,0,0,3,-19,6,2,3,0
2024-07-22,9,3,0,0,3,-19,6,2,3,0
2024-07-23,9,0,0,0,2,-20,5,4,3,0
2024-07-26,13,2,0,-5,1,-21,1,3,-1,3
2024-07-29,2,6,0,4,-1,-2,8,-2,-7,8
2024-07-30,5,0,0,0,2,-4,4,-2,-8,8
2024-07-31,6,0,0,2,0,-9,5,0,-7,6
2024-08-01,4,4,1,7,0,-8,7,0,-4,7
2024-08-02,5,3,0,0,0,-3,5,-2,0,6
2024-08-05,8,4,0,-1,-2,-7,5,-1,0,5
2024-08-06,1,4,0,1,-1,-4,7,-3,0,6
2024-08-07,1,4,0,1,-1,-4,7,-3,0,6
2024-08-08,1,4,0,1,-1,-4,7,-3,0,6
2024-08-09,2,6,0,4,-1,-2,8,-2,0,8
2024-08-12,13,1,0,0,0,-18,4,1,0,4
2024-08-13,3,6,-1,1,-4,0,7,0,0,8
2024-08-14,5,2,0,5,-1,-10,5,0,0,4
2024-08-15,2,6,0,4,-1,-2,8,-2,0,8
2024-08-16,13,1,0,0,0,-18,4,1,0,4
2024-08-19,5,6,0,6,-2,-5,9,-1,0,10
2024-08-20,6,-3,0,4,0,-8,4,0,0,5
2024-08-21,4,4,1,7,0,-8,7,0,0,7
2024-08-22,11,0,0,-2,0,-14,1,0,0,8
2024-08-23,2,4,-1,0,-5,-1,8,0,0,9
2024-08-26,3,3,0,5,-3,-5,7,1,0,10
2024-08-27,3,1,0,3,0,-9,7,-1,0,6
2024-08-28,5,6,0,6,-2,-5,9,-1,0,10
2024-08-29,9,0,0,3,2,-17,5,0,0,3
2024-08-30,4,5,0,5,-2,-4,9,-1,0,11
2024-09-02,9,0,0,3,2,-17,5,0,0,3
2024-09-03,1,0,0,2,0,-5,6,-2,0,6
2024-09-04,1,7,0,3,-3,0,9,-3,0,13
2024-09-05,8,-1,0,3,1,-12,4,0,0,6
2024-09-06,5,2,0,5,-1,-10,5,0,0,4
2024-09-09,1,7,0,3,-3,0,9,-3,0,13
2024-09-10,9,0,0,0,2,-16,1,0,0,5
2024-09-11,2,4,0,0,-5,-1,8,0,0,9
2024-09-12,5,6,0,6,-2,-5,9,-1,0,10
2024-09-13,9,2,0,0,2,-17,1,-2,0,5
2024-09-16,5,2,0,4,-5,-7,7,2,0,9
2024-09-18,2,4,0,0,-5,-1,8,0,0,9
2024-09-19,3,3,0,5,-3,-5,7,1,0,10
2024-09-20,4,3,0,2,-3,-6,8,-2,0,9
2024-09-23,3,5,0,5,-3,-5,9,-1,0,13
2024-09-24,7,0,0,2,0,-14,3,0,0,2
2024-09-25,5,3,0,9,-5,-5,8,2,0,10
2024-09-26,3,3,0,4,-3,-5,7,0,0,11
2024-09-27,5,5,1,7,-3,-6,7,0,0,10
2024-09-30,6,-2,0,1,0,-11,2,0,0,4
2024-10-01,5,2,-1,4,-4,-6,7,1,0,10
2024-10-04,2,4,0,5,-4,0,9,0,0,11
2024-10-07,7,0,0,2,0,-14,3,0,0,2
2024-10-08,5,3,0,9,-5,-5,8,2,0,10
2024-10-09,4,5,0,5,-2,-4,9,-1,0,11
2024-10-11,6,-2,0,1,0,-11,2,0,0,4
2024-10-14,5,2,0,6,-4,-5,9,2,0,11
2024-10-15,5,7,0,4,-3,-9,5,0,0,9
2024-10-16,3,6,0,3,-1,-7,6,-1,0,10
2024-10-17,5,7,0,4,-3,-9,5,0,0,9
2024-10-18,3,6,0,3,-1,-7,6,-1,0,10
2024-10-21,5,7,0,4,-2,-9,5,0,0,9
2024-10-22,3,6,0,3,0,-7,6,-1,0,10
2024-10-23,6,-3,0,3,0,-12,3,-1,0,6
2024-10-24,5,2,0,7,0,-5,9,2,0,11
2024-10-25,7,0,0,3,0,-13,3,-4,0,7
2024-10-28,3,2,0,7,0,-5,8,1,0,11
2024-10-29,3,5,0,5,0,-5,9,-1,0,13
2024-10-30,5,9,0,1,3,-17,1,-2,0,2
2024-11-01,4,5,0,5,-2,-4,9,-1,0,11
2024-11-04,6,-4,0,4,-1,-12,3,-2,0,7
2024-11-05,0,5,0,5,0,0,8,-1,0,10
2024-11-06,4,5,0,0,0,-9,5,-3,0,8
2024-11-07,5,2,0,7,0,-5,9,2,0,11
2024-11-08,5,9,0,1,3,-17,1,-2,0,2
2024-11-11,3,5,0,5,-3,-5,9,-1,0,13
2024-11-12,5,-1,0,4,0,-13,4,0,0,3
2024-11-13,5,2,0,7,0,-5,9,2,0,11
2024-11-14,7,2,0,3,0,-17,3,-3,0,5
2024-11-15,0,5,0,5,0,0,8,-1,0,10
2024-11-18,3,5,0,5,0,-5,9,-1,0,13
2024-11-19,5,9,0,1,3,-17,1,-2,0,2
2024-11-20,3,5,0,5,-3,-5,9,-1,0,13
2024-11-21,3,0,0,3,0,-7,8,-1,0,10
2024-11-22,3,0,0,3,0,-7,8,-1,0,10
2024-11-25,3,-1,0,5,0,-7,7,-1,0,9
2024-11-26,3,5,0,5,0,-5,9,-1,0,13
2024-11-27,5,9,0,1,3,-17,1,-2,0,2
2024-11-28,5,3,0,4,-3,-6,9,0,0,13
2024-11-29,3,5,0,5,0,-5,9,-1,0,13
2024-12-02,4,4,0,1,2,-18,4,-1,0,4
2024-12-03,5,2,0,3,-2,-7,7,2,0,11
2024-12-04,3,5,0,5,0,-5,9,-1,0,13
2024-12-05,5,0,0,5,0,-15,5,-2,0,5
2024-12-06,5,2,0,7,0,-5,9,2,0,11
2024-12-09,4,0,0,4,0,-13,4,-2,0,4
2024-12-10,3,2,0,7,0,-5,8,1,0,11
2024-12-11,2,6,0,3,0,-7,6,-1,0,12
2024-12-12,4,1,0,5,0,-10,4,0,0,10
2024-12-13,2,6,0,3,0,-7,6,-1,0,12
2024-12-16,4,2,0,6,0,-10,5,0,0,9
2024-12-17,4,7,0,3,0,-9,4,0,0,11
2024-12-18,4,2,0,6,0,-10,5,0,0,9
2024-12-19,4,7,0,3,0,-9,4,0,0,11
2024-12-20,2,1,0,7,0,-9,6,-1,0,11
2024-12-23,4,7,0,3,0,-9,4,0,0,11
2024-12-24,3,5,0,5,0,-8,6,-1,0,13
2024-12-25,3,2,0,7,0,-8,6,-2,0,9
2024-12-26,4,7,0,3,0,-9,5,0,0,12
2024-12-27,3,2,0,7,0,-8,6,-2,0,9
2024-12-30,4,7,0,3,0,-9,4,0,0,11
2024-12-31,2,1,0,7,0,-9,6,-1,0,11
2025-01-02,2,6,0,3,0,-7,6,-1,0,12
2025-01-03,2,2,0,7,0,-9,6,-3,0,11
2025-01-06,3,3,0,8,0,-4,9,1,0,11
2025-01-07,3,8,0,0,1,-16,4,-2,0,4
2025-01-08,3,4,0,4,-1,-6,5,0,0,10
2025-01-09,3,5,0,5,0,-8,6,-1,0,13
2025-01-10,2,1,0,7,0,-9,6,-1,0,11
2025-01-13,3,5,0,5,0,-8,6,-1,0,13
2025-01-14,2,1,0,7,0,-9,6,-1,0,11
2025-01-15,3,5,0,5,0,-8,6,-1,0,13
2025-01-16,2,1,0,7,0,-9,6,-1,0,11
2025-01-17,2,5,1,5,0,-7,6,-2,0,14
2025-01-20,3,5,0,5,0,-8,6,-1,0,13
2025-01-21,3,2,0,7,0,-8,6,-2,0,9
2025-01-22,3,5,0,5,0,-8,6,-1,0,13
2025-02-03,2,1,0,7,0,-9,6,-1,0,11
2025-02-04,3,5,0,5,0,-8,6,-1,0,13
2025-02-05,2,1,0,7,0,-9,6,-1,0,11
2025-02-06,3,5,0,5,0,-8,6,-1,0,13
2025-02-07,0,5,0,2,0,0,6,-1,0,13
2025-02-10,0,0,-1,0,0,0,0,0,0,1
2025-02-11,0,0,0,0,0,0,0,0,0,0
2025-02-12,0,0,0,0,0,0,0,0,0,0
2025-02-13,0,0,0,0,0,0,0,0,0,0
2025-02-14,0,0,0,0,0,0,0,0,0,0
2025-02-17,0,0,0,0,0,0,0,0,0,0
