date,1216.TW,1301.TW,1303.TW,2002.TW,2303.TW,2308.TW,2317.TW,2327.TW,2330.TW,2345.TW,2357.TW,2360.TW,2379.TW,2382.TW,2383.TW,2412.TW,2454.TW,2881.TW,2882.TW,2884.TW,2885.TW,2886.TW,2887.TW,2891.TW,3008.TW,3037.TW,3045.TW,3711.TW,5871.TW,6505.TW
2024-01-31,0,3,8,0,1,-14,0,9,-7,21,0,0,31,8,0,13,0,0,20,14,14,12,0,4,-7,6,0,-6,6,6
2024-02-01,-7,0,4,0,-6,-19,0,8,-8,24,0,0,31,2,0,14,0,0,14,12,11,10,0,4,-12,-2,0,-9,14,1
2024-02-02,0,3,8,0,1,-14,0,9,-7,21,0,0,31,8,0,13,0,0,20,14,14,12,0,4,-7,6,0,-6,6,6
2024-02-05,-8,-5,-1,1,-10,-1,0,13,-16,30,2,0,42,-9,0,5,0,0,10,13,-3,9,0,8,-31,-13,0,-14,11,-3
2024-02-15,22,5,9,-1,12,0,0,-2,1,2,-2,0,22,27,0,12,0,0,19,18,31,31,0,-5,7,20,0,2,-14,14
2024-02-16,-14,3,5,0,-14,0,0,10,-13,33,0,0,38,4,0,12,0,0,13,8,9,7,0,3,-21,-5,0,-15,12,0
2024-02-19,14,0,2,0,0,0,0,0,0,2,0,0,25,22,0,11,0,0,19,17,26,25,0,0,0,11,0,0,-7,10
2024-02-20,-5,-5,-3,23,-13,0,0,15,-14,37,5,7,33,-13,2,3,0,0,0,8,-8,3,0,13,-43,-28,20,-21,18,-2
2024-02-21,22,5,9,-23,12,0,0,-2,1,2,-4,-7,22,27,-2,12,0,0,19,18,31,31,0,-5,7,20,-20,2,-14,14
2024-02-22,22,5,9,0,12,0,0,-2,0,1,-1,0,22,27,0,12,0,0,19,18,31,31,0,-5,3,20,0,2,-14,14
2024-02-23,-5,-5,-3,23,-13,0,0,15,-14,37,5,7,33,-13,2,3,0,0,0,8,-8,3,0,13,-43,-28,20,-21,18,-2
2024-02-26,22,5,9,-23,12,0,0,-2,1,2,-4,-7,22,27,-2,12,0,0,19,18,31,31,0,-5,7,20,-20,2,-14,14
2024-02-27,22,0,9,0,12,0,0,-2,0,0,-1,0,22,27,0,12,0,0,19,18,31,31,0,-5,4,20,0,0,-14,14
2024-02-29,-9,-3,0,23,-17,0,0,18,-5,40,4,11,32,-15,4,2,0,0,-3,7,-10,-1,0,15,-28,-28,26,-23,19,0
2024-03-01,22,5,9,-23,12,0,0,-2,0,2,-4,-11,22,27,-4,12,0,0,19,18,31,31,0,-5,5,20,-26,2,-14,14
2024-03-04,-4,-7,-3,3,-16,0,0,0,0,13,0,0,35,-13,0,0,0,0,0,0,-7,0,0,0,-5,-27,0,-24,1,-4
2024-03-05,-5,-5,-3,17,-13,0,0,0,0,24,0,0,0,-13,0,0,0,0,0,0,-8,0,0,0,0,-28,0,-21,0,-2
2024-03-06,-5,-5,-3,16,-13,0,0,0,0,24,0,0,0,-13,0,0,0,0,0,0,-8,0,0,0,0,-28,0,-21,0,-2
2024-03-07,-5,-5,-3,12,-13,0,0,0,0,25,0,0,0,-13,0,0,0,0,0,0,-8,0,0,0,0,-28,0,-21,0,-2
2024-03-08,-7,-1,-2,14,-13,0,0,0,0,24,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,-26,0,-23,0,-1
2024-03-11,-8,0,-1,3,-14,0,0,0,0,23,0,0,0,-9,0,0,0,0,0,0,-4,0,0,0,0,-27,0,-20,0,-1
2024-03-12,-8,0,-1,1,-14,0,0,0,0,18,0,0,0,-9,0,0,0,0,0,0,-4,0,0,0,0,-27,0,0,0,-1
2024-03-13,-5,0,-2,2,-15,0,0,0,0,17,0,0,0,-10,0,0,0,0,0,0,-5,0,0,0,0,-25,4,0,0,-2
2024-03-14,-5,0,-2,2,-15,0,0,0,0,17,0,0,0,-10,0,0,0,0,0,0,-5,0,0,0,0,-25,3,0,0,-2
2024-03-15,-5,0,-2,2,-15,0,0,0,0,18,0,0,0,-10,0,0,0,0,0,0,-5,0,0,0,0,-25,0,0,0,-2
2024-03-18,-5,0,-2,0,0,0,0,0,0,17,0,0,0,-10,0,0,0,0,0,0,-5,0,0,0,0,-25,1,0,0,-2
2024-03-19,-8,0,-1,1,0,0,0,0,0,18,0,0,0,-9,0,0,0,0,0,0,-4,0,0,0,0,-27,2,0,0,-1
2024-03-20,-7,0,-2,2,0,0,0,0,0,15,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,-16,0,0,0,-1
2024-03-21,-7,0,-2,13,0,0,0,0,0,7,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-03-22,-8,0,-1,1,0,0,0,0,0,6,0,0,0,-9,0,0,0,0,0,0,-4,0,0,0,0,0,1,0,0,-1
2024-03-25,-7,0,-2,9,0,0,0,0,0,7,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-03-26,-8,0,-1,0,0,0,0,0,0,6,0,0,0,-9,0,0,0,0,0,0,-4,0,0,0,0,0,2,0,0,-1
2024-03-27,-7,0,-2,6,0,0,0,0,0,7,0,0,0,-10,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-03-28,-7,0,-2,5,0,0,0,0,0,8,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-03-29,-5,0,-3,11,0,0,0,0,0,9,0,0,0,-13,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,-2
2024-04-01,-5,0,-3,10,0,0,0,0,0,9,0,0,0,-13,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,-2
2024-04-02,-5,0,-3,1,0,0,0,0,0,10,0,0,0,-13,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,-2
2024-04-03,-5,0,-3,16,0,0,0,0,0,9,0,0,0,-13,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,-2
2024-04-08,-5,0,-3,12,0,0,0,0,0,9,0,0,0,-13,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,-2
2024-04-09,-5,0,-2,1,0,0,0,0,0,6,0,0,0,-9,0,0,0,0,0,0,-1,0,0,0,0,0,3,0,0,-2
2024-04-10,-5,0,-2,1,0,0,0,0,0,6,0,0,0,-9,0,0,0,0,0,0,-1,0,0,0,0,0,2,0,0,-2
2024-04-11,-5,0,-3,7,0,0,0,0,0,9,0,0,0,-13,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,-2
2024-04-12,-7,0,-2,6,0,0,0,0,0,8,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-04-15,-7,0,-2,10,0,0,0,0,0,8,0,0,0,-11,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-1
2024-04-16,-7,0,-2,1,0,0,0,0,0,7,0,0,0,-10,0,0,0,0,0,0,-7,0,0,0,0,0,4,0,0,-1
2024-04-17,-6,0,-3,2,0,0,0,0,0,8,0,0,0,-10,0,0,0,0,0,0,-7,0,0,0,0,0,1,0,0,-2
